VB_ID,ID_Num,FIRE_NAME,FIRE_YEAR,WFU,Veg,AGENCY,ICS_CODE,PCT_FS,FIRESIZE_HA,BA90_HA,BA90_PCT,MaxPatch_HA,IGNITION_DATE,CONT_DATE,sdc,MSI,AWMSI,MPFD,AWMPFD,max_tmmx,max_tmmn,min_rmax,max_bi
1987EAST,87,EAST,1987,no,Forest,USF,SHF,97.44,4643,932,20.1,584,19870830,19870907.0,0.002699852476399214,0.07531563945617757,0.010715659933429836,1.373283649033918,1.3163333522320961,36.28334960937502,16.612786865234398,44.739784240722656,63.757572174072266
1987ELK_LICK,88,ELK LICK,1987,no,Forest,USF,KNF,100.0,448,28,6.3,12,19870830,19870907.0,0.0175981584994221,0.07043696285000511,0.032264957314794424,1.3683386035314613,1.347238508854783,37.5390563964844,18.528009033203148,36.60459899902344,66.676605224609375
1987EVER,89,EVER,1987,no,Forest,USF,STF,92.16,215,161,74.8,160,19870828,19870829.0,0.0025584681068957617,0.02960083493656654,0.006131117638965925,1.3186296918387632,1.2815404838186835,31.492883300781273,12.866693115234398,55.31429672241211,59.940372467041016
1987FAY,90,FAY,1987,no,Forest,USF,SQF,81.37,4640,1147,24.7,664,19870830,19870905.0,0.00563005849344638,0.0849187808627476,0.016401125213222838,1.3799893787635116,1.3754530857418403,26.692956542968773,12.274041748046898,55.816734313964844,64.33219909667969
1987FLUME,92,FLUME,1987,no,Forest,USF,SHF,100.0,5277,813,15.4,198,19870830,19870910.0,0.007360205654658282,0.07209456880649154,0.018440656226349467,1.3697011431012374,1.347477711179024,36.60823974609377,16.364038085937523,52.118446350097656,61.50008773803711
1987FORT_COPPER,93,FORT COPPER,1987,no,Forest,USF,KNF,94.59,14703,2842,19.3,290,19870830,19871007.0,0.006428400640084971,0.07272957965707737,0.015718379560549684,1.3720388201329798,1.3543785492359153,36.2299743652344,18.712915039062523,27.818387985229492,74.74076080322266
1987FOUTS,94,FOUTS,1987,no,Forest,USF,MNF,91.72,6965,1752,25.2,399,19870901,19870914.0,0.006715451697169118,0.07539604162245994,0.01672961117152314,1.3757533286259558,1.3658372355251907,31.526086425781273,18.285760498046898,37.29117965698242,58.61002731323242
1987FRIENDLY,95,FRIENDLY,1987,no,Forest,USF,SHF,88.92,1466,407,27.7,297,19870830,19870910.0,0.005086445165460469,0.07687320184278845,0.013383279864692345,1.3735526650028405,1.3632842983788938,35.6999450683594,17.473596191406273,44.247501373291016,66.092315673828125
1987FROG,96,FROG,1987,yes,Forest,NPS,YNP,0.0,1554,66,4.2,10,19870628,19871104.0,0.021267253314468305,0.06686936333880313,0.03701682717169617,1.3668478327522942,1.3558165178480543,27.691369628906273,13.106774902343773,24.98335838317871,76.31013488769531
1987GLASGOW,97,GLASGOW,1987,no,Forest,USF,KNF,96.56,6156,1273,20.7,480,19870830,19870922.0,0.004632876395749635,0.0808044026933801,0.012518746317943192,1.3786236205593154,1.368399735495161,38.5208679199219,17.875878906250023,38.50959396362305,56.62778854370117
