"","ID_Num","VB_ID","FIRE_NAME","FIRE_YEAR","WFU","Veg","NUM_ASSESS","AGENCY","ICS_CODE","PCT_FS","FIRESIZE_HA","BA90_HA","BA90_PCT","BA90_PCT_integer","MaxPatch_HA","MaxPatch_PCT_of_HS","MaxPatch_PCT_of_firesize","TCA100_BA90_HA","TCA100_Pct_of_fireSize","TCA100_Pct_of_BA90","TCA200_BA90_HA","TCA200_Pct_of_fireSize","TCA200_Pct_of_BA90","SDI_LOG","SEI_LOG","SDI_LOG200","SEI_LOG200","SDI_LOGMN1MX200","SEI_LOGMN1MX200","SIMDI_LOGMX200","SIMDI_LOGMN1MX200","SDI_LIN5","SEI_LIN5","SEI_LIN5_MaxP_GT_40ha","Nptype_LIN5","SDI_LIN5_max400","SEI_LIN5_max400","SDI_LIN5_max200","SEI_LIN5_max200","SDI_LIN5_min1max200","SEI_LIN5_min1max200","SIMDI_LIN5MAX200","SIMDI_LIN5MIN1MAX200","MPS","N","MEDPS","PSCOV","PSSD","q"
"109",101,"1990AVALANCHE","AVALANCHE",1990,"yes","Forest",1,"NPS","KNP",0,1157,161,13.9,13,38,23.7,3.3,6.1,0.5,3.8,0,0,0,1.272,0.917,1.463,0.666,1.292,0.803,0.708,0.682,1.763,0.984,NA,6,1.763,0.984,1.763,0.984,1.745,0.974,0.823,0.818,3.84,42,0.495,195.595,7.519,-0.0113447592812018
"112",104,"1990COTTONWOOD","COTTONWOOD",1990,"no","Forest",1,"CDF","TCU",86,991,326,32.9,32,205,63.1,20.7,97.1,9.8,29.8,21.4,2.2,6.6,1.119,0.695,1.189,0.517,1.119,0.625,0.559,0.547,1.119,0.695,0.695,5,1.119,0.695,1.119,0.695,1.094,0.68,0.557,0.546,13.02,25,0.72,315.128,41.045,-0.00404593400038529
"115",108,"1990LAUREL_LAKE2","LAUREL LAKE 2",1990,"no","Forest",1,"NPS","YNP",0,336,5,1.4,1,1,27.5,0.4,0,0,0,0,0,0,0,NA,1.227,0.762,0,NA,0.644,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.46,10,0.45,72.549,0.333,-0.0392852595556313
"116",109,"1990LONG_VALLEY","LONG VALLEY",1990,"no","Forest",1,"CDF","SHU",81,290,73,25.3,25,70,95.6,24.2,13.8,4.8,18.8,0.5,0.2,0.7,0.181,0.261,0.211,0.192,0.117,0.169,0.085,0.049,0.181,0.261,0.261,2,0.181,0.261,0.181,0.261,0.117,0.169,0.084,0.049,18.36,4,1.305,163.035,29.933,-0.00514417430640372
"117",110,"1990PIUTE","PIUTE",1990,"no","Forest",1,"NPS","YNP",0,224,14,6.1,6,3,19.7,1.2,0,0,0,0,0,0,0,NA,1.426,0.796,0.662,0.956,0.722,0.469,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.72,19,0.54,99.423,0.716,-0.0276579645804519
"120",112,"1990STEAMBOAT","STEAMBOAT",1990,"no","Forest",1,"NPS","YNP",0,2470,338,13.7,13,132,39,5.3,50,2,14.8,0.1,0,0,1.4,0.87,1.474,0.64,1.388,0.774,0.722,0.712,1.76,0.847,0.847,8,1.76,0.847,1.76,0.847,1.735,0.834,0.777,0.77,11.28,30,0.495,237.136,26.749,-0.0060024971469685
"122",114,"1990T_GROVE4","T-GROVE 4",1990,"no","Forest",1,"NPS","YNP",0,301,4,1.3,1,3,66.7,0.9,0,0,0,0,0,0,0,NA,0.803,0.731,0.598,0.863,0.48,0.408,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.35,3,1.08,74.833,1.01,-0.0203301054661165
"125",116,"1991FROG","FROG",1991,"yes","Forest",1,"NPS","YNP",0,1232,32,2.6,2,4,12.7,0.3,0,0,0,0,0,0,0,NA,1.401,0.782,0.693,0.999,0.706,0.499,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.78,41,0.36,126.687,0.984,-0.0266643134889905
"126",117,"1991ILL","ILL",1991,"no","Forest",1,"NPS","YNP",0,1430,250,17.5,17,91,36.4,6.4,16.5,1.2,6.6,0.1,0,0,1.045,0.754,1.25,0.569,1.085,0.674,0.566,0.528,1.478,0.919,0.919,5,1.478,0.919,1.478,0.919,1.456,0.905,0.747,0.736,5.31,47,0.81,301.812,16.038,-0.00988491378311891
"129",121,"1992CHAGOOPA","CHAGOOPA",1992,"yes","Forest",1,"NPS","KNP",0,255,17,6.7,6,5,29.1,1.9,0,0,0,0,0,0,0,NA,0.484,0.301,0.259,0.374,0.214,0.134,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.89,9,1.17,99.887,1.888,-0.018020641413628
